Azimuth/deg,Zenith/deg
53.456,40.581
45.876,46.112
47.803,44.395
49.904,42.585
52.224,40.667
44.578,46.063
46.529,44.388
48.652,42.623
50.99,40.753
43.281,46.014
45.256,44.38
47.399,42.661
49.754,40.841
41.987,45.963
43.983,44.372
46.146,42.699
48.515,40.931
40.693,45.91
42.711,44.364
44.892,42.738
47.275,41.021
39.401,45.857
41.439,44.356
43.637,42.778
46.032,41.113
38.111,45.803
40.168,44.347
42.381,42.818
44.787,41.206
36.823,45.747
38.897,44.337
41.125,42.858
43.54,41.3
35.536,45.691
37.627,44.328
39.868,42.899
42.29,41.396
34.251,45.633
36.358,44.318
38.611,42.94
41.039,41.492
32.967,45.575
35.089,44.308
37.352,42.982
39.785,41.589
31.685,45.516
33.821,44.298
36.093,43.024
38.529,41.687
30.405,45.455
32.553,44.287
34.833,43.066
37.271,41.786
29.127,45.394
31.285,44.276
33.572,43.109
36.011,41.886
27.85,45.332
30.019,44.265
32.311,43.152
34.748,41.986
26.575,45.269
28.753,44.254
31.049,43.195
33.484,42.087
25.302,45.206
27.487,44.243
29.786,43.239
32.217,42.189
24.031,45.141
26.222,44.231
28.522,43.283
30.948,42.292
22.761,45.076
24.958,44.22
27.258,43.327
29.677,42.395
21.494,45.011
23.694,44.208
25.993,43.371
28.404,42.498
20.228,44.945
22.431,44.196
24.727,43.416
27.129,42.602
18.964,44.878
21.168,44.184
23.46,43.461
25.852,42.707
17.702,44.81
19.906,44.172
22.193,43.506
24.573,42.812
16.442,44.743
18.645,44.159
20.925,43.551
23.292,42.917
15.184,44.674
17.384,44.147
19.656,43.597
22.009,43.022
13.927,44.606
16.123,44.135
18.387,43.643
20.723,43.128
12.673,44.536
14.864,44.122
17.116,43.688
19.436,43.234
11.42,44.467
13.605,44.11
15.845,43.734
18.147,43.34
10.169,44.397
12.346,44.097
14.573,43.78
16.856,43.446
8.9207,44.327
11.088,44.085
13.301,43.827
15.563,43.552
7.6738,44.257
9.8306,44.072
12.028,43.873
14.269,43.658
6.4289,44.187
8.5738,44.06
10.754,43.919
12.972,43.764
5.1859,44.116
7.3175,44.047
9.4795,43.966
11.674,43.87
3.9448,44.046
6.0618,44.035
8.2043,44.012
10.374,43.976
2.7057,43.975
4.8067,44.023
6.9284,44.058
9.072,44.082
1.4684,43.905
3.5522,44.011
5.6518,44.105
7.7684,44.187
0.23312,43.834
2.2981,43.999
4.3745,44.151
6.4632,44.292
359,43.764
1.0447,43.987
3.0966,44.198
5.1562,44.397
357.77,43.694
359.79,43.975
1.818,44.244
3.8476,44.501
356.54,43.624
358.54,43.963
0.53879,44.29
2.5375,44.605
355.31,43.554
357.29,43.952
359.26,44.337
1.2257,44.709
354.08,43.485
356.04,43.94
357.98,44.383
359.91,44.812
352.86,43.415
354.79,43.929
356.7,44.429
358.6,44.914
351.64,43.347
353.54,43.918
355.42,44.475
357.28,45.016
350.42,43.278
352.29,43.908
354.13,44.521
355.96,45.118
349.2,43.21
351.04,43.897
352.85,44.567
354.64,45.218
347.98,43.143
349.79,43.887
351.57,44.612
353.32,45.318
346.77,43.076
348.54,43.877
350.28,44.658
352,45.418
345.56,43.01
347.29,43.867
349,44.703
350.68,45.516
344.34,42.944
346.04,43.858
347.71,44.748
349.35,45.614
343.13,42.879
344.8,43.849
346.43,44.793
348.03,45.711
341.93,42.815
343.55,43.84
345.14,44.837
346.7,45.807
340.72,42.751
342.3,43.832
343.85,44.882
345.37,45.902
339.51,42.689
341.06,43.824
342.57,44.926
344.04,45.996
338.31,42.627
339.81,43.816
341.28,44.97
342.71,46.089
337.11,42.566
338.57,43.809
339.99,45.013
341.38,46.181
335.91,42.506
337.32,43.802
338.7,45.056
340.05,46.272
334.71,42.448
336.08,43.795
337.41,45.099
338.72,46.362
333.51,42.39
334.84,43.789
336.12,45.142
337.38,46.451
332.32,42.333
333.59,43.783
334.83,45.185
336.04,46.539
331.12,42.277
332.35,43.778
333.54,45.227
334.71,46.626
329.93,42.223
331.11,43.773
332.25,45.268
333.37,46.711
328.74,42.17
329.86,43.769
330.96,45.31
